Status,Knoten Nr. oben,Knoten Nr. unten,Deckelhoehe oben,Deckelhoehe unten,Sohlhoehe oben,Sohlhoehe unten,Laenge,DN
0,A057c,A057a,211.07,211.237,210.77,210.757,5.78,100.0
0,A057c,A057d,211.07,208.76,210.77,208.52,7.85,100.0
0,BAPUE4002,BAPUE4003,212.87,212.87,211.443,210.6,24.84,800.0
0,BAPUE4003,BAPUE4004,212.87,212.72,210.6,210.35,5.79,800.0
0,BAPUE4004,BAPUE4005,212.72,210.87,210.35,210.09,16.38,800.0
0,BAPUE4005,BAPUE4012,210.87,210.36,209.75,208.862,13.91,800.0
0,BAPUE4009,BAPUE4010,214.15,213.69,212.631,212.52,5.39,800.0
0,BAPUE4010,BAPUE4002,213.69,212.87,212.52,211.522,8.17,800.0
0,BAPUE4012,BAPUE4013,210.36,209.97,208.723,207.857,4.14,800.0
0,BAPUE4013,BAPUE4014,209.97,208.41,207.739,206.681,47.21,800.0
0,BAPUE4014,BAPUE4015AL,208.41,206.47,206.664,206.47,15.49,800.0
0,FIKTIV,1348.2,226.0,225.64,224.5,224.36,17.21,150.0
0,HS-028,HS-027,207.68,206.83,204.71,204.59,55.29,500.0
0,HS-029,HS-028,207.24,207.68,204.8,204.71,60.4,500.0
0,HS-030,HS-029,207.91,207.24,204.94,204.8,40.19,500.0
0,HS-031,HS-030,208.61,207.91,205.09,204.94,40.23,480.0
0,HS-032,HS-031,207.93,208.61,205.22,205.09,35.05,480.0
0,HS-033,HS-032,207.8,207.93,205.3,205.22,50.19,480.0
0,HS-034,HS-033,208.107,207.8,205.487,205.3,55.29,480.0
0,HS-035,HS-034,208.7,208.107,205.64,205.487,55.12,480.0
0,HS-036,HS-035,208.27,208.7,205.77,205.64,55.34,480.0
0,HS-037,HS-036,209.29,208.27,205.79,205.77,54.0,480.0
0,HS-039,HS-038,208.82,208.54,206.12,205.99,50.05,480.0
0,HS-038,HS-037,208.54,209.29,205.99,205.79,51.46,480.0
0,HS-040,HS-039,209.2,208.82,206.7,206.12,42.79,480.0
0,H-025,24_RUe,206.83,207.34,203.368,203.302,20.7,800.0
0,H-025.2,H-025,206.85,206.83,204.17,203.79,21.57,500.0
